title:Yousef Rihani1739356669702, start timestamp:1739356670.917668, stop timestamp:1739356732.656165, headset type:EPOCX, headset serial:E50208A5, headset firmware:720, channels:168, sampling rate:eeg_128;mot_32;pm_0.1;pow_8, samples:7908      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,PM.Attention.IsActive,PM.Attention.Scaled,PM.Attention.Raw,PM.Attention.Min,PM.Attention.Max,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1739356670.917668,1739356670.917802,116.000000,0.000000,4271.282227,4244.358887,4325.897461,4309.743652,4237.563965,4218.974121,4238.846191,4299.743652,4252.948730,4242.307617,4588.461426,4478.461426,4414.871582,4506.282227,5556.000000,0.000000,10.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.700671,0.080933,-0.694580,0.141663,0.985472,-0.075204,0.032719,-45.291313,-28.671131,42.307762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739356670.925476,1739356670.925710,117.000000,0.000000,4279.743652,4252.820313,4335.897461,4321.025879,4239.743652,4220.641113,4240.256348,4295.128418,4257.563965,4247.692383,4589.487305,4490.512695,4414.871582,4515.641113,6371.000000,0.000000,10.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739356670.933284,1739356670.933518,118.000000,0.000000,4261.922852,4233.717773,4320.769043,4308.461426,4222.692383,4205.000000,4227.820313,4286.410156,4232.692383,4218.589844,4567.692383,4466.666504,4395.384766,4496.666504,4752.000000,0.000000,10.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739356670.941093,1739356670.941426,119.000000,0.000000,4248.717773,4221.794922,4307.307617,4294.615234,4215.641113,4199.230957,4220.897461,4287.563965,4215.641113,4200.384766,4561.538574,4450.128418,4389.871582,4479.358887,5522.000000,0.000000,10.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739356670.948901,1739356670.949234,120.000000,0.000000,4263.333496,4233.589844,4317.179688,4307.436035,4229.615234,4215.128418,4239.358887,4294.871582,4236.538574,4221.025879,4583.077148,4466.666504,4403.205078,4492.436035,5556.000000,0.000000,10.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.700785,0.079834,-0.694580,0.141724,0.986449,-0.069833,0.033696,-45.262184,-28.804018,42.260319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.165552,4.493714,1.288208,1.018220,1.183060,10.010335,2.360271,1.020556,1.206781,1.118141,2.362149,1.064430,0.596509,0.647811,0.897295,3.111631,0.792590,0.601834,1.015553,1.142482,0.468877,0.271346,0.287793,0.913398,0.915545,0.335681,0.317987,0.392044,1.036283,0.713094,0.408494,0.505815,0.469122,1.116776,0.946914,0.110646,0.146502,0.120937,0.179112,0.153278,0.573452,0.950067,0.639827,0.952761,0.941716,0.772972,0.561169,0.737248,1.063499,1.104950,3.905522,0.993024,1.020311,0.759254,1.056888,3.734954,1.484128,0.873005,1.090877,1.345032,5.946301,1.056591,0.529951,0.550831,0.923728,14.866751,3.120159,1.094384,0.933053,1.005695
1739356670.956709,1739356670.957142,121.000000,0.000000,4277.692383,4243.717773,4327.051270,4322.820313,4243.205078,4229.230957,4260.256348,4295.641113,4254.743652,4236.922852,4594.230957,4479.102539,4408.461426,4507.692383,6371.000000,0.000000,10.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739356670.964517,1739356670.964950,122.000000,0.000000,4257.179688,4229.102539,4307.436035,4304.230957,4229.358887,4214.358887,4239.743652,4285.256348,4232.051270,4212.948730,4569.230957,4448.974121,4386.538574,4484.102539,4752.000000,0.000000,10.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739356670.972325,1739356670.972658,123.000000,0.000000,4237.820313,4211.922852,4293.077148,4284.615234,4213.461426,4197.948730,4216.025879,4280.000000,4214.487305,4196.410156,4555.512695,4426.794922,4371.538574,4462.948730,5522.000000,0.000000,10.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739356670.980133,1739356670.980466,124.000000,0.000000,4267.692383,4233.846191,4320.769043,4310.897461,4235.897461,4215.512695,4241.922852,4291.538574,4241.794922,4226.153809,4591.410156,4463.846191,4397.820313,4495.000000,5556.000000,0.000000,10.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.700780,0.079346,-0.694641,0.141724,0.997680,-0.079111,0.028324,-45.452633,-28.840282,42.217621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739356670.987941,1739356670.988174,125.000000,0.000000,4297.692383,4267.051270,4343.717773,4339.230957,4257.436035,4231.666504,4260.384766,4296.153809,4263.461426,4250.128418,4616.794922,4493.333496,4415.769043,4521.922852,6371.000000,0.000000,10.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
