iter	Passed	Remaining
0	9	9418
1	15	7802
2	21	7045
3	26	6504
4	29	5969
5	33	5592
6	37	5360
7	40	5081
8	43	4843
9	47	4691
10	50	4553
11	53	4431
12	57	4340
13	60	4242
14	63	4164
15	66	4071
16	69	3999
17	73	3988
18	76	3937
19	79	3893
20	82	3848
21	85	3795
22	89	3796
23	92	3749
24	96	3772
25	100	3749
26	103	3713
27	106	3689
28	109	3659
29	112	3629
30	115	3598
31	118	3574
32	121	3549
33	124	3530
34	127	3507
35	130	3501
36	133	3481
37	136	3460
38	140	3450
39	142	3430
40	146	3415
41	148	3396
42	152	3384
43	155	3369
44	157	3352
45	160	3337
46	164	3326
47	167	3325
48	170	3312
49	173	3299
50	176	3282
51	179	3280
52	182	3269
53	185	3255
54	189	3249
55	191	3235
56	194	3225
57	198	3218
58	201	3206
59	204	3197
60	207	3197
61	210	3185
62	213	3175
63	216	3162
64	219	3152
65	222	3146
66	225	3138
67	228	3132
68	231	3129
69	235	3122
70	238	3118
71	241	3109
72	244	3106
73	247	3102
74	250	3094
75	254	3095
76	257	3085
77	260	3080
78	263	3071
79	266	3063
80	269	3056
81	272	3048
82	275	3040
83	278	3033
84	281	3032
85	284	3022
86	287	3017
87	290	3009
88	293	3000
89	296	2996
90	299	2988
91	302	2981
92	305	2976
93	308	2971
94	311	2966
95	314	2961
96	317	2958
97	321	2954
98	324	2949
99	327	2945
100	330	2944
101	333	2936
102	336	2931
103	339	2925
104	342	2922
105	346	2918
106	348	2911
107	352	2907
108	355	2905
109	358	2900
110	361	2895
111	364	2888
112	367	2884
113	370	2883
114	373	2877
115	377	2873
116	379	2866
117	382	2862
118	386	2859
119	389	2854
120	392	2848
121	395	2844
122	398	2839
123	401	2835
124	404	2833
125	407	2828
126	410	2824
127	413	2819
128	416	2814
129	420	2812
130	423	2808
131	426	2804
132	429	2801
133	432	2796
134	436	2797
135	439	2794
136	442	2790
137	446	2786
138	448	2780
139	452	2779
140	455	2775
141	458	2769
142	462	2769
143	464	2763
144	468	2761
145	471	2757
146	474	2751
147	477	2748
148	480	2743
149	483	2738
150	486	2736
151	489	2731
152	493	2729
153	495	2724
154	498	2720
155	502	2720
156	505	2715
157	509	2713
158	512	2708
159	514	2703
160	518	2702
161	521	2697
162	524	2693
163	528	2692
164	531	2688
165	534	2686
166	538	2686
167	542	2686
168	545	2683
169	548	2678
170	552	2676
171	555	2671
172	558	2669
173	561	2665
174	565	2664
175	568	2662
176	571	2657
177	574	2653
178	577	2649
179	580	2644
180	583	2641
181	586	2636
182	589	2632
183	592	2628
184	595	2624
185	598	2619
186	602	2618
187	605	2615
188	608	2611
189	611	2608
190	615	2606
191	618	2603
192	621	2599
193	625	2596
194	628	2592
195	630	2588
196	634	2584
197	637	2583
198	640	2579
199	644	2577
200	647	2573
201	650	2571
202	654	2569
203	657	2566
204	660	2562
205	663	2557
206	666	2554
207	669	2551
208	672	2546
209	676	2543
210	679	2539
211	682	2535
212	685	2531
213	688	2528
214	691	2525
215	694	2522
216	697	2517
217	700	2514
218	703	2509
219	706	2505
220	710	2504
221	714	2502
222	717	2500
223	721	2497
224	724	2495
225	728	2493
226	731	2490
227	734	2487
228	737	2484
229	741	2482
230	744	2480
231	748	2477
232	751	2474
233	754	2470
234	757	2467
235	760	2463
236	764	2459
237	767	2456
238	770	2451
239	773	2448
240	776	2445
241	779	2441
242	782	2438
243	785	2434
244	789	2433
245	792	2429
246	795	2425
247	798	2422
248	801	2418
249	804	2414
250	808	2411
251	811	2407
252	814	2404
253	817	2401
254	820	2397
255	823	2393
256	827	2391
257	830	2387
258	833	2384
259	837	2383
260	840	2380
261	844	2377
262	847	2375
263	851	2373
264	853	2368
265	857	2365
266	860	2361
267	863	2357
268	866	2354
269	869	2350
270	872	2347
271	875	2343
272	878	2339
273	882	2338
274	885	2334
275	888	2330
276	891	2328
277	894	2323
278	897	2320
279	901	2317
280	903	2313
281	907	2309
282	910	2306
283	913	2302
284	916	2298
285	919	2294
286	922	2292
287	925	2288
288	928	2284
289	931	2281
290	934	2277
291	937	2274
292	941	2271
293	944	2267
294	948	2265
295	950	2261
296	954	2258
297	957	2254
298	960	2250
299	963	2248
300	967	2245
301	970	2242
302	973	2240
303	976	2236
304	979	2232
305	982	2229
306	985	2225
307	989	2222
308	991	2218
309	995	2216
310	998	2212
311	1001	2208
312	1004	2205
313	1008	2202
314	1011	2200
315	1015	2198
316	1019	2195
317	1022	2193
318	1025	2189
319	1028	2186
320	1032	2183
321	1035	2180
322	1039	2178
323	1042	2174
324	1046	2173
325	1049	2170
326	1053	2167
327	1056	2163
328	1059	2160
329	1062	2157
330	1066	2154
331	1069	2151
332	1072	2148
333	1075	2144
334	1079	2143
335	1083	2141
336	1087	2140
337	1091	2137
338	1094	2134
339	1097	2131
340	1100	2127
341	1104	2124
342	1106	2120
343	1109	2116
344	1112	2113
345	1115	2109
346	1119	2106
347	1121	2102
348	1124	2098
349	1128	2094
350	1131	2092
351	1134	2088
352	1137	2085
353	1140	2081
354	1144	2079
355	1148	2077
356	1151	2074
357	1155	2072
358	1159	2070
359	1162	2067
360	1166	2064
361	1169	2061
362	1172	2057
363	1175	2054
364	1178	2050
365	1181	2046
366	1185	2043
367	1187	2039
368	1190	2035
369	1193	2032
370	1196	2028
371	1199	2025
372	1202	2021
373	1205	2018
374	1208	2014
375	1211	2010
376	1214	2006
377	1217	2003
378	1220	1999
379	1223	1995
380	1226	1992
381	1230	1989
382	1232	1986
383	1236	1983
384	1239	1980
385	1242	1976
386	1245	1973
387	1248	1969
388	1252	1966
389	1254	1962
390	1258	1959
391	1261	1956
392	1264	1953
393	1268	1950
394	1270	1946
395	1273	1942
396	1277	1940
397	1280	1936
398	1283	1932
399	1286	1929
400	1288	1925
401	1291	1921
402	1294	1918
403	1297	1914
404	1300	1910
405	1303	1907
406	1306	1903
407	1309	1899
408	1312	1896
409	1315	1892
410	1318	1889
411	1321	1885
412	1323	1881
413	1327	1878
414	1330	1875
415	1333	1872
